datahora,Geração Usinas CVU (MW),Geração Biomassa (MW),Geração Eólicas (MW),Geração Hidráulica não MRE (MW),Geração Hidráulica MRE (MW),PLD (R$/MWh),CMO (R$/MWh),Carga Global (MWh/H),Intercâmbio (MW),ENA Armazenável (MW)
2021-04-18 13:00,106.781333,2.070689,7.240825,1.7142000000000002,4.561698,104.28,143.16500000000002,34823.955,5430.736,28322.01218556966
2021-04-18 14:00,105.860804,2.495535,9.709069999999999,1.713229,4.4688,117.59,144.39,34570.87699999999,5387.441,28322.01218556966
2021-04-18 15:00,108.021737,2.8353859999999997,8.393806999999999,1.71271,4.4016,140.24,150.865,34818.6935,5598.519,28322.01218556966
2021-04-18 16:00,159.38910199999998,2.916902,6.724024999999999,1.712866,5.837027,159.17,170.635,35441.916,6107.966,28322.01218556966
2021-04-18 17:00,157.91936099999998,2.724255,8.380184999999999,1.713897,5.857343999999999,168.65,178.20499999999998,37043.91,6831.575,28322.01218556966
2021-04-18 18:00,159.21263,3.181027,10.401429,1.712936,5.871,178.22,191.275,40966.8725,5846.336,28322.01218556966
2021-04-18 19:00,159.346874,3.19984,11.327231999999999,1.7129079999999999,5.9201559999999995,178.52,191.785,43191.9225,6294.615,28322.01218556966
2021-04-18 20:00,159.560114,3.2592000000000003,9.374495,1.7129919999999998,5.959404999999999,178.5,191.33499999999998,42663.17,6964.325,28322.01218556966
2021-04-18 21:00,159.63304,2.86541,6.135922,2.001381,5.970864,178.47,190.095,41655.102,7112.927,28322.01218556966
2021-04-18 22:00,120.942532,3.58736,0.0,2.0023139999999997,5.918127,175.78,186.4,40180.384999999995,6951.646,28322.01218556966
2021-04-18 23:00,93.860737,2.8056,0.30415,2.001566,5.876638,171.0,181.45999999999998,38276.628500000006,6682.22099999,28322.01218556966
2021-04-19 00:00,16.139333,3.08,2.2669669999999997,1.954044,5.674227,170.55,179.595,36561.6385,6350.375,29139.74023438
2021-04-19 01:00,16.136373,3.563058,2.162331,1.9558769999999999,5.3992629999999995,158.29,165.54500000000002,34806.065,6069.694,28322.01218556966
2021-04-19 02:00,16.141977999999998,2.97,6.82768,1.9512349999999998,5.398111999999999,139.66,148.82999999999998,33567.822,5961.949,28322.01218556966
2021-04-19 03:00,15.953439,3.0576000000000003,3.549266,1.839899,4.951741,135.33,143.38,32844.4785,5880.875,28322.01218556966
2021-04-19 04:00,15.734231999999999,2.998234,0.7560359999999999,1.838172,4.8888,138.01,141.75,32811.41,5942.57,28322.01218556966
2021-04-19 05:00,94.46996,2.9096699999999998,0.0,1.9451569999999998,4.558282999999999,144.76,159.93,33385.914000000004,6473.583,28322.01218556966
2021-04-19 06:00,160.487262,3.570515,0.0,1.956977,4.893034999999999,164.87,174.5,34968.166,6978.573,28322.01218556966
2021-04-19 07:00,160.256575,3.742485,0.0,1.999823,5.398402,168.06,175.48000000000002,36429.755,6788.035,28322.01218556966
2021-04-19 08:00,159.940333,4.2780000000000005,0.0,1.850631,5.862575,171.25,180.185,38982.922000000006,6134.914,28322.01218556966
2021-04-19 09:00,159.586075,3.9923539999999997,0.0,1.775472,5.672295,172.64,183.41,40533.066999999995,5899.75699999,28322.01218556966
2021-04-19 10:00,159.331583,3.8526569999999998,0.0,1.775471,5.8687949999999995,173.9,183.82999999999998,41521.932,5475.462,28322.01218556966
2021-04-19 11:00,158.907302,3.8225439999999997,3.290447,1.863454,5.96146,174.41,185.09,41903.0,5739.108,28322.01218556966
2021-04-19 12:00,158.722959,3.9905169999999996,6.664200999999999,1.8742759999999998,5.938000000000001,174.79,183.99,41822.695,6147.309,28322.01218556966
2021-04-19 13:00,158.35136599999998,3.815826,7.160108999999999,1.987334,5.8856,178.67,190.82,42284.9825,5664.353,28322.01218556966
2021-04-19 14:00,160.578171,4.6267309999999995,7.69166,1.990221,6.001499,178.8,191.47,43184.927500000005,5076.866,28322.01218556966
2021-04-19 15:00,166.428,4.553598,9.432490999999999,1.772001,6.043742,178.77,191.845,43612.57,5344.169,28322.01218556966
2021-04-19 16:00,166.602433,4.436995,4.086657,1.769266,6.032268999999999,178.75,191.78,44220.541,5410.579,28322.01218556966
2021-04-19 17:00,167.256,5.4569339999999995,2.2762569999999998,1.927122,6.030946999999999,178.74,190.69,43740.6235,6533.5,28322.01218556966
2021-04-19 18:00,167.256,5.4625829999999995,3.542134,1.8848669999999998,5.984713999999999,179.58,192.715,44732.7875,4383.751,28322.01218556966
2021-04-19 19:00,167.463,5.462177,0.5754009999999999,1.7850489999999999,5.913144,179.36,191.35,46401.509999999995,4413.35499999,28322.01218556966
2021-04-19 20:00,167.256,5.534845,0.244726,1.7861179999999999,5.97858,179.02,191.125,45365.419,5099.174,28322.01218556966
2021-04-19 21:00,167.463,6.324774,2.325812,1.78771,5.99763,178.67,190.85000000000002,44656.051,5980.316,28322.01218556966
2021-04-19 22:00,167.463,5.8128,0.220907,1.7846579999999999,5.921977999999999,177.12,191.10500000000002,42745.0585,6869.103,28322.01218556966
2021-04-19 23:00,167.463,5.89877,0.0,1.78795,5.806,173.89,183.71,40272.894499999995,6760.812,28322.01218556966
2021-04-20 00:00,161.36300699999998,5.753604999999999,0.380607,1.784158,5.388096,170.31,184.135,38128.923500000004,5958.97,29315.11328125
2021-04-20 01:00,161.511303,5.952538,1.7968549999999999,1.7839909999999999,5.3928,166.65,178.66500000000002,36120.0885,5415.611,28322.01218556966
2021-04-20 02:00,122.25629,5.7556899999999995,0.6020059999999999,1.9208459999999998,5.388043,163.07,175.375,34783.3865,5267.136,28322.01218556966
2021-04-20 03:00,121.269135,5.7298849999999995,0.7558889999999999,2.05352,5.3928,151.49,168.41,34095.543999999994,5244.13,28322.01218556966
2021-04-20 04:00,121.433874,6.215338,0.054709999999999995,2.0524,5.304393,151.35,164.785,33771.346,5347.848,28322.01218556966
2021-04-20 05:00,120.98101199999999,6.591774,1.4499199999999999,1.785761,5.388032,161.47,173.77,34292.315,5820.284,28322.01218556966
2021-04-20 06:00,121.118645,6.6253839999999995,6.180753,1.7859429999999998,5.080331999999999,166.26,177.82,35739.2925,6677.001,28322.01218556966
2021-04-20 07:00,161.807571,6.704969999999999,4.591328,2.086103,5.550787,167.89,179.875,36891.100999999995,6310.85,28322.01218556966
